#Flow ID 	delaySum	lostPackets	bytesDropped	packetsDropped	rxBytes	rxPackets	txBytes	txPackets	
#FD  dSum lP byDpd pDd rB rP tB tP 
1	+0.0ns	88	0	0	0	0	9702	98
3	+0.0ns	93	0	0	0	0	10098	102
5	+0.0ns	87	0	0	0	0	9504	96
6	+0.0ns	93	0	0	0	0	10197	103
7	+0.0ns	88	0	0	0	0	9702	98
9	+0.0ns	92	0	0	0	0	10197	103
11	+0.0ns	87	0	0	0	0	9504	96
13	+0.0ns	90	0	0	0	0	9999	101
15	+0.0ns	90	0	0	0	0	9900	100
17	+0.0ns	91	0	0	0	0	9999	101
19	+0.0ns	4	0	0	0	0	4424	4
21	+0.0ns	1	0	0	0	0	1106	1
23	+0.0ns	1	0	0	0	0	1106	1
24	+0.0ns	1	0	0	0	0	1106	1
25	+0.0ns	1	0	0	0	0	1106	1
26	+0.0ns	2	0	0	0	0	2212	2
27	+0.0ns	1	0	0	0	0	1106	1
28	+0.0ns	1	0	0	0	0	1106	1
29	+0.0ns	1	0	0	0	0	1106	1
30	+0.0ns	1	0	0	0	0	1106	1
31	+0.0ns	1	0	0	0	0	1106	1
32	+0.0ns	1	0	0	0	0	1106	1
33	+0.0ns	1	0	0	0	0	1106	1
34	+0.0ns	1	0	0	0	0	1106	1
35	+0.0ns	2	0	0	0	0	2212	2
36	+0.0ns	1	2	2	0	0	1106	1
37	+0.0ns	1	0	0	0	0	1106	1
38	+0.0ns	1	0	0	0	0	1106	1
39	+0.0ns	1	0	0	0	0	1106	1
40	+0.0ns	1	0	0	0	0	1106	1
41	+0.0ns	1	0	0	0	0	1106	1
42	+0.0ns	2	0	0	0	0	2212	2
43	+0.0ns	1	0	0	0	0	1106	1
44	+0.0ns	1	0	0	0	0	1106	1
45	+0.0ns	2	2	2	0	0	2212	2
46	+0.0ns	1	0	0	0	0	1106	1
47	+0.0ns	1	0	0	0	0	1106	1
48	+0.0ns	2	0	0	0	0	2212	2
49	+0.0ns	1	0	0	0	0	1106	1
50	+0.0ns	1	0	0	0	0	1106	1
51	+0.0ns	1	0	0	0	0	1106	1
52	+0.0ns	1	0	0	0	0	1106	1
53	+0.0ns	1	0	0	0	0	1106	1
54	+0.0ns	1	0	0	0	0	1106	1
55	+0.0ns	1	0	0	0	0	1106	1
56	+0.0ns	1	0	0	0	0	1106	1
57	+0.0ns	1	0	0	0	0	1106	1
58	+0.0ns	1	0	0	0	0	1106	1
59	+0.0ns	2	2	2	0	0	2212	2
60	+0.0ns	1	0	0	0	0	1106	1
61	+0.0ns	1	0	0	0	0	1106	1
62	+0.0ns	1	0	0	0	0	1106	1
63	+0.0ns	1	0	0	0	0	1106	1
64	+0.0ns	2	0	0	0	0	2212	2
65	+0.0ns	1	0	0	0	0	1106	1
67	+0.0ns	1	0	0	0	0	1106	1
68	+0.0ns	1	2	2	0	0	1106	1
69	+0.0ns	1	0	0	0	0	1106	1
70	+0.0ns	2	0	0	0	0	2212	2
71	+0.0ns	1	0	0	0	0	1106	1
72	+0.0ns	1	0	0	0	0	1106	1
73	+0.0ns	1	0	0	0	0	1106	1
74	+0.0ns	1	0	0	0	0	1106	1
75	+0.0ns	1	0	0	0	0	1106	1
76	+0.0ns	1	0	0	0	0	1106	1
77	+0.0ns	1	0	0	0	0	1106	1
78	+0.0ns	1	0	0	0	0	1106	1
79	+0.0ns	1	0	0	0	0	1106	1
80	+0.0ns	1	0	0	0	0	1106	1
81	+0.0ns	1	0	0	0	0	1106	1
82	+0.0ns	1	0	0	0	0	1106	1
83	+0.0ns	1	0	0	0	0	1106	1
84	+0.0ns	1	0	0	0	0	1106	1
85	+0.0ns	1	0	0	0	0	1106	1
86	+0.0ns	1	0	0	0	0	1106	1
87	+0.0ns	1	0	0	0	0	1106	1
88	+0.0ns	1	0	0	0	0	1106	1
89	+0.0ns	1	0	0	0	0	1106	1
90	+0.0ns	1	0	0	0	0	1106	1
91	+0.0ns	1	0	0	0	0	1106	1
92	+0.0ns	1	0	0	0	0	1106	1
93	+0.0ns	1	0	0	0	0	1106	1
94	+0.0ns	1	0	0	0	0	1106	1
95	+0.0ns	1	0	0	0	0	1106	1
96	+0.0ns	1	0	0	0	0	1106	1
97	+0.0ns	1	0	0	0	0	1106	1
98	+0.0ns	1	0	0	0	0	1106	1
99	+0.0ns	1	0	0	0	0	1106	1
100	+0.0ns	2	0	0	0	0	2212	2
101	+0.0ns	1	0	0	0	0	1106	1
102	+0.0ns	1	0	0	0	0	1106	1
103	+0.0ns	1	0	0	0	0	1106	1
104	+0.0ns	1	0	0	0	0	1106	1
105	+0.0ns	1	2	2	0	0	1106	1
106	+0.0ns	1	0	0	0	0	1106	1
107	+0.0ns	1	0	0	0	0	1106	1
108	+0.0ns	1	0	0	0	0	1106	1
109	+0.0ns	1	0	0	0	0	1106	1
110	+0.0ns	2	0	0	0	0	2212	2
111	+0.0ns	1	2	2	0	0	1106	1
112	+0.0ns	1	0	0	0	0	1106	1
113	+0.0ns	1	0	0	0	0	1106	1
114	+0.0ns	1	2	2	0	0	1106	1
115	+0.0ns	1	0	0	0	0	1106	1
116	+0.0ns	1	2	2	0	0	1106	1
117	+0.0ns	1	0	0	0	0	1106	1
118	+0.0ns	1	2	2	0	0	1106	1
119	+0.0ns	1	0	0	0	0	1106	1
120	+0.0ns	1	2	2	0	0	1106	1
121	+0.0ns	1	0	0	0	0	1106	1
122	+0.0ns	1	2	2	0	0	1106	1
123	+0.0ns	1	0	0	0	0	1106	1
124	+0.0ns	1	2	2	0	0	1106	1
125	+0.0ns	2	0	0	0	0	2212	2
126	+0.0ns	1	0	0	0	0	1106	1
127	+0.0ns	2	0	0	0	0	2212	2
128	+0.0ns	1	0	0	0	0	1106	1
129	+0.0ns	1	0	0	0	0	1106	1
130	+0.0ns	1	0	0	0	0	1106	1
131	+0.0ns	2	0	0	0	0	2212	2
133	+0.0ns	1	0	0	0	0	1106	1
134	+0.0ns	1	0	0	0	0	1106	1
135	+0.0ns	1	0	0	0	0	1106	1
136	+0.0ns	1	0	0	0	0	1106	1
137	+0.0ns	1	0	0	0	0	1106	1
138	+0.0ns	1	0	0	0	0	1106	1
139	+0.0ns	1	0	0	0	0	1106	1
140	+0.0ns	1	0	0	0	0	1106	1
